City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Adams,"1,734",5,0,0,1,4,89,18,66,5,1
Albany,"1,108",7,0,0,1,6,25,3,21,1,0
Algoma,"3,091",4,0,3,1,0,87,2,83,2,0
Altoona,"6,759",6,1,2,0,3,107,17,82,8,0
Amery,"2,770",5,0,0,0,5,53,8,43,2,0
Antigo,"7,849",14,0,0,1,13,471,57,405,9,0
Appleton,"70,294",165,1,21,18,125,"1,884",327,"1,521",36,9
Arcadia,"2,312",2,0,0,1,1,40,11,28,1,0
Ashland,"8,066",29,0,4,2,23,479,73,389,17,4
Ashwaubenon,"17,197",21,0,9,1,11,577,60,502,15,1
Athens,"1,029",1,0,0,0,1,9,0,9,0,0
Avoca,563,2,0,0,0,2,14,9,4,1,0
Bangor,"1,405",0,0,0,0,0,16,3,13,0,0
Baraboo,"11,302",39,0,0,1,38,498,46,440,12,0
Barron,"3,104",5,0,4,0,1,41,7,28,6,0
Bayfield,566,0,0,0,0,0,26,3,22,1,0
Beaver Dam,"15,116",3,0,0,0,3,553,74,477,2,0
Belleville,"2,306",5,0,1,0,4,25,2,21,2,0
Beloit,"36,197",171,5,13,57,96,"1,389",279,"1,040",70,3
Beloit Town,"7,555",12,0,1,5,6,174,40,123,11,0
Berlin,"4,965",4,0,0,0,4,175,20,155,0,0
Big Bend,"1,334",1,0,0,0,1,37,7,28,2,0
Black River Falls,"3,382",2,0,0,0,2,148,33,111,4,0
Blair,"1,243",1,0,0,0,1,24,4,17,3,0
Bloomer,"3,294",3,0,1,0,2,78,8,69,1,0
Bloomfield,"5,087",11,0,1,1,9,104,24,77,3,1
Brillion,"2,857",2,0,0,0,2,23,2,20,1,0
Brodhead,"3,118",2,0,0,0,2,80,1,75,4,0
Brookfield,"39,049",29,0,0,9,20,"1,261",93,"1,145",23,2
Brown Deer,"11,671",32,0,1,4,27,434,34,388,12,0
Burlington,"11,030",6,0,1,5,0,314,23,282,9,0
Burlington Town,"6,671",2,0,0,1,1,47,12,34,1,0
Butler,"1,759",9,0,1,3,5,43,9,25,9,0
Caledonia,"24,291",43,0,0,7,36,350,115,220,15,1
Campbellsport,"1,943",0,0,0,0,0,21,6,14,1,0
Campbell Township,"4,551",12,0,2,0,10,75,15,58,2,0
Cashton,"1,060",0,0,0,0,0,0,0,0,0,0
Cedarburg,"11,092",1,0,0,1,0,133,5,128,0,1
Chenequa,591,0,0,0,0,0,4,0,4,0,0
Chetek,"2,135",2,0,0,0,2,33,3,29,1,0
Chilton,"3,563",3,0,1,0,2,74,4,65,5,0
Chippewa Falls,"12,897",24,0,0,2,22,309,56,236,17,6
Cleveland,"1,408",0,0,0,0,0,10,1,9,0,0
Clinton,"3,298",3,0,0,1,2,34,2,32,0,0
Clintonville,"4,235",2,0,0,0,2,245,14,226,5,0
Colby-Abbotsford,"3,540",3,0,0,1,2,70,9,59,2,0
Columbus,"5,162",12,0,0,0,12,102,8,94,0,0
Combined Locks,"3,348",1,0,0,0,1,20,3,17,0,0
Coon Valley,747,0,0,0,0,0,4,3,1,0,0
Cornell,"1,377",0,0,0,0,0,24,7,17,0,0
Cottage Grove,"6,445",9,0,0,2,7,206,25,175,6,0
Crandon,"1,801",2,0,1,0,1,50,15,34,1,0
Cross Plains,"3,603",1,0,0,0,1,77,2,74,1,0
Cuba City,"2,035",1,0,0,0,1,27,1,26,0,0
Cudahy,"18,856",68,0,3,8,57,671,124,502,45,3
Cumberland,"2,231",0,0,0,0,0,21,2,19,0,0
Dane,"1,026",0,0,0,0,0,0,0,0,0,0
Darien,"1,708",0,0,0,0,0,40,6,33,1,0
Darlington,"2,191",4,0,2,0,2,57,3,50,4,0
DeForest,"9,006",7,0,2,1,4,160,25,132,3,1
Delafield,"6,821",5,0,0,0,5,118,6,111,1,0
Delavan,"8,555",25,0,1,4,20,302,42,253,7,1
Delavan Town,"4,521",2,0,2,0,0,73,18,49,6,1
Denmark,"2,138",0,0,0,0,0,11,4,7,0,0
De Pere,"25,288",15,0,5,3,7,360,70,275,15,1
Dodgeville,"5,063",1,0,0,0,1,67,10,57,0,0
Durand,"1,847",1,0,0,0,1,8,2,6,0,0
Eagle River,"1,754",2,0,0,0,2,125,7,116,2,0
Eagle Village,"1,836",10,0,0,0,10,10,3,7,0,0
East Troy,"4,591",3,0,3,0,0,96,4,91,1,7
Eau Claire,"65,802",119,0,28,15,76,"1,717",248,"1,402",67,7
Edgar,"1,339",0,0,0,0,0,6,0,5,1,0
Edgerton,"5,374",3,0,0,2,1,93,32,58,3,0
Eleva,637,0,0,0,0,0,15,1,12,2,0
Elkhart Lake,"1,186",0,0,0,0,0,28,2,26,0,0
Elkhorn,"9,480",13,0,4,2,7,223,40,182,1,5
Elk Mound,814,2,0,0,1,1,14,1,13,0,0
Ellsworth,"3,119",1,0,1,0,0,85,9,72,4,0
Elm Grove,"6,118",0,0,0,0,0,69,12,57,0,0
Elroy,"1,471",0,0,0,0,0,16,4,12,0,0
Everest,"15,718",28,0,5,3,20,382,62,309,11,0
Fall Creek,"1,280",0,0,0,0,0,7,0,7,0,0
Fennimore,"2,306",1,0,0,1,0,68,12,56,0,0
Fitchburg,"23,668",60,2,2,24,32,619,65,522,32,2
Fond du Lac,"42,001",114,1,22,7,84,"1,142",99,"1,010",33,7
Fontana,"1,957",3,0,0,0,3,30,3,27,0,0
Fort Atkinson,"11,923",38,0,0,3,35,223,15,201,7,3
Fountain City,993,1,0,0,0,1,4,0,3,1,0
Fox Lake,"1,461",3,0,0,0,3,14,1,13,0,0
Fox Point,"6,797",2,0,1,1,0,75,9,65,1,0
Fox Valley Metro,"17,428",9,0,2,1,6,327,38,283,6,4
Franklin,"36,217",38,0,8,3,27,651,130,501,20,4
Freedom,"5,994",0,0,0,0,0,15,4,10,1,0
Germantown,"19,740",15,1,4,2,8,352,31,309,12,2
Glendale,"12,956",23,0,2,18,3,831,36,767,28,0
Grafton,"11,728",4,0,2,1,1,237,4,230,3,2
Grand Chute,"21,079",21,1,2,6,12,990,49,909,32,0
Grand Rapids,"7,347",0,0,0,0,0,76,25,50,1,0
Grantsburg,"1,354",1,0,0,0,1,46,3,42,1,0
Green Bay,"100,836",473,1,66,87,319,"2,742",637,"1,980",125,28
Greendale,"13,937",8,0,0,2,6,612,18,585,9,0
Greenfield,"36,148",51,0,3,26,22,"1,293",195,"1,038",60,0
Green Lake,"1,092",1,0,0,0,1,25,1,24,0,0
Hales Corners,"7,556",7,0,0,3,4,157,17,139,1,0
Hartford,"14,207",8,0,0,2,6,326,27,288,11,0
Hartland,"8,774",7,0,0,0,7,116,18,94,4,0
Hayward,"2,365",9,0,1,1,7,201,22,170,9,1
Hazel Green,"1,176",0,0,0,0,0,1,1,0,0,0
Highland,795,0,0,0,0,0,6,1,5,0,0
Hobart-Lawrence,"9,229",0,0,0,0,0,40,10,29,1,0
Holmen,"8,769",10,0,1,0,9,183,32,144,7,1
Horicon,"3,466",3,1,1,0,1,49,3,45,1,0
Hudson,"12,623",24,1,3,4,16,591,76,501,14,0
Hurley,"1,514",6,0,0,0,6,63,7,53,3,0
Independence,"1,208",1,0,0,0,1,18,3,13,2,0
Iron Ridge,975,0,0,0,0,0,20,4,16,0,0
Jackson,"6,978",7,0,0,0,7,40,8,29,3,0
Janesville,"62,761",153,1,18,40,94,"2,245",332,"1,839",74,9
Jefferson,"7,874",18,2,5,0,11,287,17,267,3,0
Juneau,"2,615",1,0,0,0,1,75,2,72,1,0
Kaukauna,"15,695",5,0,3,0,2,196,16,172,8,0
Kenosha,"97,657",270,4,36,102,128,"3,017",593,"2,296",128,12
Kewaskum,"3,999",4,0,0,1,3,41,6,33,2,0
Kewaunee,"2,748",1,0,0,0,1,25,4,21,0,0
Kiel,"3,600",6,0,0,0,6,56,5,50,1,0
Kohler,"1,951",0,0,0,0,0,62,0,62,0,0
Kronenwetter,"7,118",5,0,3,0,2,60,30,28,2,0
La Crosse,"50,791",189,1,24,31,133,"1,837",349,"1,412",76,12
Ladysmith,"3,279",0,0,0,0,0,142,15,125,2,0
Lake Delton,"3,311",16,0,5,1,10,598,25,569,4,0
Lake Geneva,"8,437",12,0,0,2,10,411,11,393,7,0
Lake Hallie,"4,455",14,0,0,2,12,254,45,201,8,0
Lake Mills,"5,639",9,0,0,0,9,93,15,74,4,1
Lancaster,"3,904",0,0,0,0,0,50,22,28,0,0
Lodi,"3,021",3,0,1,0,2,77,6,68,3,0
Luxemburg,"2,271",1,0,0,0,1,24,6,17,1,0
Madison,"234,461",853,4,28,364,457,"7,884","1,523","6,015",346,87
Manitowoc,"33,056",47,0,1,6,40,655,87,553,15,2
Maple Bluff,"1,354",1,0,0,1,0,22,6,16,0,0
Marathon City,"1,527",9,0,0,0,9,11,3,8,0,0
Marinette,"10,699",13,0,1,4,8,463,73,373,17,1
Marion,"1,163",0,0,0,0,0,14,3,11,0,0
Markesan,"1,270",0,0,0,0,0,24,7,17,0,0
Marshall Village,"3,778",4,0,0,0,4,43,11,32,0,0
Marshfield,"18,205",6,0,0,1,5,518,79,432,7,3
Mauston,"4,491",22,0,2,0,20,177,33,139,5,1
Mayville,"5,107",5,0,1,0,4,105,8,97,0,0
McFarland,"7,923",2,1,0,0,1,162,13,146,3,0
Medford,"4,085",6,0,2,0,4,166,12,152,2,0
Menasha,"16,651",51,0,5,3,43,538,108,422,8,2
Menomonee Falls,"34,822",16,1,1,7,7,362,31,322,9,0
Menomonie,"15,652",11,3,0,1,7,361,70,284,7,2
Mequon,"23,688",7,0,1,1,5,157,33,120,4,0
Merrill,"9,617",39,0,2,5,32,341,47,284,10,0
Middleton,"16,284",16,0,2,8,6,374,59,305,10,2
Milwaukee,"604,673","6,584",72,204,"3,122","3,186","34,791","6,534","23,397","4,860",355
Mineral Point,"2,446",6,0,2,0,4,40,4,33,3,0
Minocqua,"4,749",1,0,0,0,1,263,22,236,5,1
Mishicot,"1,380",0,0,0,0,0,7,2,5,0,0
Monona,"7,814",12,0,2,5,5,453,20,426,7,0
Monroe,"10,442",20,0,1,0,19,298,34,255,9,6
Montello,"1,466",3,0,1,0,2,42,12,30,0,0
Mosinee,"3,962",1,0,0,0,1,112,23,85,4,0
Mount Horeb,"6,799",1,0,0,1,0,147,12,133,2,1
Mount Pleasant,"26,985",68,1,4,18,45,695,87,591,17,3
Mukwonago,"7,341",5,0,1,2,2,184,19,160,5,0
Muskego,"23,440",10,0,3,5,2,236,60,173,3,1
Neenah,"25,105",31,0,3,1,27,521,101,410,10,1
Neillsville,"2,576",1,1,0,0,0,114,31,83,0,0
Neshkoro,438,0,0,0,0,0,11,1,10,0,0
New Berlin,"38,686",26,0,1,6,19,556,99,447,10,4
New Glarus,"2,065",0,0,0,0,0,75,5,66,4,0
New Holstein,"3,150",3,0,0,0,3,83,15,68,0,0
New Lisbon,"2,553",5,0,0,0,5,8,1,7,0,0
New London,"6,702",5,0,2,1,2,184,9,174,1,0
New Richmond,"8,486",1,0,0,1,0,279,35,240,4,1
Niagara,"1,720",0,0,0,0,0,53,20,32,1,0
North Fond du Lac,"5,271",5,0,1,0,4,109,9,95,5,0
North Hudson,"3,869",0,0,0,0,0,24,0,24,0,0
North Prairie,"2,111",1,0,0,0,1,9,1,7,1,0
Oak Creek,"34,069",27,0,6,5,16,"1,122",94,985,43,1
Oconomowoc,"14,359",9,1,4,1,3,184,23,157,4,0
Oconomowoc Town,"8,251",3,0,1,1,1,48,17,29,2,0
Oconto,"4,278",3,0,0,0,3,222,35,180,7,1
Oconto Falls,"2,582",2,0,0,0,2,79,9,66,4,1
Omro,"3,446",7,0,0,0,7,16,16,0,0,0
Onalaska,"16,998",19,0,1,4,14,550,62,482,6,0
Oregon,"9,594",8,0,2,2,4,184,26,154,4,0
Osceola,"2,754",10,0,0,0,10,59,5,53,1,0
Oshkosh,"63,700",250,0,13,42,195,"2,112",357,"1,672",83,5
Osseo,"1,624",3,0,0,1,2,53,3,48,2,0
Oxford,942,0,0,0,0,0,20,5,15,0,0
Park Falls,"2,210",0,0,0,0,0,34,1,32,1,0
Pepin,912,1,0,1,0,0,27,9,17,1,0
Peshtigo,"3,200",8,0,0,0,8,43,11,31,1,0
Pewaukee,"12,631",6,0,0,0,6,114,11,96,7,0
Pewaukee Village,"8,874",7,0,0,1,6,155,16,139,0,0
Phillips,"1,377",2,0,0,0,2,62,12,48,2,1
Plainfield,883,0,0,0,0,0,16,7,8,1,0
Platteville,"10,330",5,0,3,0,2,153,19,126,8,0
Pleasant Prairie,"20,297",16,0,1,4,11,406,30,369,7,2
Plover,"11,852",13,0,0,0,13,225,23,198,4,0
Plymouth,"8,276",14,0,2,1,11,220,32,188,0,0
Portage,"9,939",40,0,10,1,29,286,16,263,7,0
Port Washington,"11,247",3,0,2,0,1,163,10,148,5,1
Poynette,"2,577",0,0,0,0,0,31,7,24,0,0
Prescott,"4,039",5,0,1,0,4,163,14,145,4,0
Pulaski,"3,602",4,0,3,1,0,56,8,47,1,1
Racine,"82,232",448,3,35,228,182,"3,521","1,108","2,266",147,22
Reedsburg,"8,758",12,0,3,1,8,154,10,141,3,0
Rhinelander,"7,602",7,0,1,0,6,340,36,296,8,1
Rice Lake,"8,247",21,0,1,4,16,368,30,320,18,3
Richland Center,"5,040",6,0,4,0,2,124,9,114,1,1
Ripon,"7,392",7,0,0,0,7,123,12,109,2,0
River Falls,"14,549",35,0,5,4,26,374,50,317,7,1
River Hills,"1,660",1,0,0,0,1,8,3,4,1,0
Rome Town,"2,997",2,0,0,0,2,45,7,36,2,0
Rothschild,"5,052",1,0,0,1,0,148,16,131,1,0
Sauk Prairie,"4,050",1,0,1,0,0,340,44,289,7,0
Saukville,"4,301",4,0,2,0,2,93,5,84,4,0
Seymour,"3,490",5,0,1,1,3,39,6,32,1,0
Shawano,"8,706",27,0,3,2,22,389,35,340,14,1
Sheboygan,"47,578",99,2,18,28,51,"1,900",312,"1,539",49,7
Sheboygan Falls,"8,025",2,0,0,0,2,129,10,117,2,0
Shiocton,913,2,0,0,0,2,13,0,11,2,0
Shorewood,"13,173",11,0,3,5,3,454,43,401,10,5
Shorewood Hills,"1,675",4,0,0,4,0,89,1,88,0,0
Silver Lake,"2,543",8,0,1,0,7,23,3,20,0,1
Siren,998,3,0,0,0,3,44,3,38,3,0
Slinger,"4,757",4,0,1,0,3,115,12,97,6,0
Somerset,"2,836",0,0,0,0,0,42,4,36,2,0
South Milwaukee,"21,122",27,0,5,19,3,500,96,383,21,1
Spencer,"1,792",1,0,0,0,1,29,6,23,0,0
Spooner,"2,653",1,0,1,0,0,82,9,72,1,0
Spring Green,"1,503",0,0,0,0,0,31,4,27,0,0
Stanley,"3,567",0,0,0,0,0,98,7,91,0,0
St. Croix Falls,"2,163",1,0,0,0,1,84,4,77,3,0
Stevens Point,"25,320",34,0,4,0,30,706,68,625,13,2
St. Francis,"9,862",14,0,1,3,10,271,33,227,11,3
Stoughton,"13,013",10,0,0,3,7,214,32,177,5,2
Strum,"1,022",0,0,0,0,0,14,0,14,0,0
Sturgeon Bay,"8,721",7,0,0,0,7,134,13,116,5,1
Sturtevant,"7,120",6,1,0,0,5,78,14,62,2,0
Summit,"5,055",2,0,0,0,2,22,5,17,0,0
Sun Prairie,"29,324",41,1,2,10,28,738,78,640,20,8
Superior,"26,098",72,0,7,19,46,"1,396",201,"1,147",48,7
Theresa,"1,249",4,0,2,0,2,34,4,30,0,0
Thiensville,"3,013",3,0,0,0,3,36,4,29,3,0
Three Lakes,"2,251",1,0,1,0,0,38,6,31,1,0
Tomah,"8,692",24,0,6,0,18,297,42,253,2,2
Tomahawk,"3,684",10,0,2,0,8,127,15,111,1,0
Town of East Troy,"3,970",1,0,0,0,1,28,5,23,0,0
Town of Madison,"6,309",39,0,11,19,9,199,35,137,27,2
Town of Menasha,"16,005",14,0,1,0,13,283,78,194,11,0
Trempealeau,"1,529",0,0,0,0,0,8,3,5,0,0
Twin Lakes,"5,809",5,0,1,0,4,135,23,107,5,0
Two Rivers,"11,716",21,0,7,1,13,132,14,114,4,0
Verona,"12,056",16,0,3,3,10,195,18,177,0,0
Viroqua,"4,437",4,0,2,0,2,103,4,94,5,0
Walworth,"2,738",8,0,0,0,8,33,6,27,0,0
Washburn,"2,155",2,0,1,0,1,41,2,38,1,0
Waterloo,"3,273",4,0,1,0,3,49,8,40,1,0
Watertown,"23,066",90,0,7,8,75,426,79,341,6,14
Waukesha,"68,248",109,2,15,27,65,"1,163",251,871,41,10
Waunakee,"11,569",12,0,1,1,10,112,33,75,4,0
Waupaca,"5,837",17,0,0,0,17,206,32,172,2,1
Waupun,"10,441",13,1,5,1,6,268,74,193,1,0
Wausau,"37,459",128,2,18,10,98,995,257,705,33,16
Wautoma,"2,122",9,0,0,0,9,55,7,45,3,0
Wauwatosa,"44,777",88,1,2,54,31,"1,820",255,"1,516",49,0
West Allis,"59,240",206,2,7,98,99,"3,082",537,"2,356",189,19
West Bend,"30,070",34,1,1,7,25,804,39,754,11,4
Westfield,"1,174",4,0,1,0,3,17,2,14,1,0
West Salem,"4,829",1,0,1,0,0,98,12,84,2,0
Whitefish Bay,"13,527",2,0,0,2,0,214,11,200,3,0
Whitehall,"1,593",0,0,0,0,0,42,2,40,0,0
Whitewater,"14,380",18,0,2,3,13,363,57,299,7,0
Williams Bay,"2,734",2,0,1,1,0,31,3,28,0,0
Winneconne,"2,469",3,0,0,0,3,36,8,28,0,1
Wisconsin Dells,"2,474",35,0,2,3,30,314,20,292,2,0
Wisconsin Rapids,"17,020",14,0,4,6,4,956,225,712,19,1
Woodruff,"1,895",1,0,0,0,1,42,4,37,1,0
